:START_ID,:END_ID,:TYPE
e2646,e24262,年代
e2646,e23822,现藏博物馆
e2646,e24470,藏品材质
e2647,e24794,年代
e2647,e23822,现藏博物馆
e2647,e23858,藏品材质
e2648,e24794,年代
e2648,e23822,现藏博物馆
e2648,e24539,藏品材质
e2649,e24794,年代
e2649,e23822,现藏博物馆
e2649,e23753,藏品材质
e2650,e24302,年代
e2650,e23822,现藏博物馆
e2650,e24538,藏品材质
e2651,e24794,年代
e2651,e23822,现藏博物馆
e2651,e23476,藏品材质
e2652,e24417,年代
e2652,e23822,现藏博物馆
e2652,e24481,藏品材质
e2653,e24794,年代
e2653,e23822,现藏博物馆
e2653,e24089,藏品材质
e2654,e24371,年代
e2654,e23822,现藏博物馆
e2654,e24345,藏品材质
e2655,e24302,年代
e2655,e23822,现藏博物馆
e2655,e24345,藏品材质
e2656,e24794,年代
e2656,e23822,现藏博物馆
e2656,e24711,藏品材质
e2657,e24794,年代
e2657,e23822,现藏博物馆
e2657,e23570,藏品材质
e2658,e24311,年代
e2658,e23822,现藏博物馆
e2658,e24812,藏品材质
e2659,e24311,年代
e2659,e23822,现藏博物馆
e2659,e24812,藏品材质
e2660,e24311,年代
e2660,e23822,现藏博物馆
e2660,e24812,藏品材质
e2661,e24311,年代
e2661,e23822,现藏博物馆
e2661,e24812,藏品材质
e2662,e24311,年代
e2662,e23822,现藏博物馆
e2662,e24812,藏品材质
e2663,e24688,年代
e2663,e23568,藏品等级
e2663,e23822,现藏博物馆
e2663,e24812,藏品材质
e2664,e24688,年代
e2664,e23568,藏品等级
e2664,e23822,现藏博物馆
e2664,e24812,藏品材质
e2665,e24688,年代
e2665,e23822,现藏博物馆
e2665,e23838,藏品材质
e2666,e24311,年代
e2666,e23568,藏品等级
e2666,e23822,现藏博物馆
e2666,e24812,藏品材质
e2667,e24688,年代
e2667,e23822,现藏博物馆
e2667,e24812,藏品材质
e2668,e24688,年代
e2668,e23822,现藏博物馆
e2668,e24812,藏品材质
e2669,e24688,年代
e2669,e23822,现藏博物馆
e2669,e24812,藏品材质
e2670,e24688,年代
e2670,e23822,现藏博物馆
e2670,e24812,藏品材质
e2671,e24688,年代
e2671,e23822,现藏博物馆
e2671,e24812,藏品材质
e2672,e24688,年代
e2672,e23822,现藏博物馆
e2672,e24812,藏品材质
e2673,e24688,年代
e2673,e23822,现藏博物馆
e2673,e24812,藏品材质
e2674,e24688,年代
e2674,e23822,现藏博物馆
e2674,e24812,藏品材质
e2675,e24688,年代
e2675,e23822,现藏博物馆
e2675,e24812,藏品材质
e2676,e24688,年代
e2676,e23822,现藏博物馆
e2676,e24812,藏品材质
e2677,e24688,年代
e2677,e23822,现藏博物馆
e2677,e24812,藏品材质
