id,name,time,creator,level,placeOfOrigin,museum,type,size,material,description,collectionUrl,imageUrl
5712,唐莲瓣纹提梁银罐,唐,无,一级,无,陕西博物馆,无,高20cm，口径13.5cm，1.590kg,金银器,无,https://www.sxhm.com/collections/detail/10027.html,https://www.sxhm.com/Uploads/Picture/2023/03/03/s6401a5e42e8c1.JPG
5713,唐侍女图,唐,无,一级,无,陕西博物馆,无,长57cm，宽85cm，41.500kg,壁画,无,https://www.sxhm.com/collections/detail/10028.html,https://www.sxhm.com/Uploads/Picture/2023/03/03/s6401a65983c3d.jpg
5714,唐马球图,唐,无,一级,无,陕西博物馆,无,长158cm，宽195cm，65.500kg,壁画,无,https://www.sxhm.com/collections/detail/10029.html,https://www.sxhm.com/Uploads/Picture/2023/03/03/s6401a67a97c38.jpg
5715,唐马球图,唐,无,一级,无,陕西博物馆,无,长156cm，宽225cm，62.500kg,壁画,无,https://www.sxhm.com/collections/detail/10030.html,https://www.sxhm.com/Uploads/Picture/2023/03/03/s6401a69da6ee2.jpg
5716,唐马球图,唐,无,一级,无,陕西博物馆,无,长186cm，宽180cm，68.000kg,壁画,无,https://www.sxhm.com/collections/detail/10031.html,https://www.sxhm.com/Uploads/Picture/2023/03/03/s6401a6be87f6d.jpg
5717,唐马球图,唐,无,一级,无,陕西博物馆,无,长153cm，宽195cm，71.000kg,壁画,无,https://www.sxhm.com/collections/detail/10032.html,https://www.sxhm.com/Uploads/Picture/2023/03/03/s6401a6dd18c3e.jpg
5718,唐狩猎出行图,唐,无,一级,无,陕西博物馆,无,长116.2cm，宽102cm，27.000kg,壁画,无,https://www.sxhm.com/collections/detail/10033.html,https://www.sxhm.com/Uploads/Picture/2023/03/03/s6401a6fab573f.jpg
5719,唐侍男、侍女图,唐,无,一级,无,陕西博物馆,无,长76cm，宽125cm，65.000kg,壁画,无,https://www.sxhm.com/collections/detail/10034.html,https://www.sxhm.com/Uploads/Picture/2023/03/03/s6401a720df545.jpg
5720,唐狩猎出行图,唐,无,一级,无,陕西博物馆,无,长160cm，宽209cm，70.000kg,壁画,无,https://www.sxhm.com/collections/detail/10035.html,https://www.sxhm.com/Uploads/Picture/2023/03/03/s6401a741d9cfb.jpg
5721,唐狩猎出行图,唐,无,一级,无,陕西博物馆,无,长220cm，宽174cm，76.000kg,壁画,无,https://www.sxhm.com/collections/detail/10036.html,https://www.sxhm.com/Uploads/Picture/2023/03/03/s6401a777a97da.jpg
5722,唐捧盆景侍女图,唐,无,一级,无,陕西博物馆,无,长183cm，宽108cm，30.000kg,壁画,无,https://www.sxhm.com/collections/detail/10037.html,https://www.sxhm.com/Uploads/Picture/2023/03/03/s6401a791db297.jpg
5723,唐侍女与侏儒图,唐,无,一级,无,陕西博物馆,无,长102cm，宽168cm，23.500kg,壁画,无,https://www.sxhm.com/collections/detail/10038.html,https://www.sxhm.com/Uploads/Picture/2023/03/03/s6401a7ac033e3.jpg
5724,唐提罐侍女图,唐,无,一级,无,陕西博物馆,无,长119cm，宽171cm，26.500kg,壁画,无,https://www.sxhm.com/collections/detail/10039.html,https://www.sxhm.com/Uploads/Picture/2023/03/03/s6401a7c6ca0ea.jpg
5725,唐备马仪卫图,唐,无,一级,无,陕西博物馆,无,长130cm，宽195cm，37.000kg,壁画,无,https://www.sxhm.com/collections/detail/10040.html,https://www.sxhm.com/Uploads/Picture/2023/03/03/s6401a7e250e59.jpg
5726,唐托果盘侍女图,唐,无,一级,无,陕西博物馆,无,长92cm，宽176cm，26.000kg,壁画,无,https://www.sxhm.com/collections/detail/10041.html,https://www.sxhm.com/Uploads/Picture/2023/03/03/s6401a7fee9f90.jpg
5727,唐胡服执壶侍女图,唐,无,一级,无,陕西博物馆,无,长81cm，宽175cm，30.500kg,壁画,无,https://www.sxhm.com/collections/detail/10042.html,https://www.sxhm.com/Uploads/Picture/2023/03/03/s6401a81a8ee4d.jpg
5728,唐高髻侍女图,唐,无,一级,无,陕西博物馆,无,长81cm，宽89cm，17.000kg,壁画,无,https://www.sxhm.com/collections/detail/10043.html,https://www.sxhm.com/Uploads/Picture/2023/03/03/s6401a83b7f42b.jpg
5729,唐托盘侍女图,唐,无,一级,无,陕西博物馆,无,长88cm，宽171cm，31.000kg,壁画,无,https://www.sxhm.com/collections/detail/10044.html,https://www.sxhm.com/Uploads/Picture/2023/03/03/s6401a85952521.jpg
5730,唐架鹞训犬图,唐,无,一级,无,陕西博物馆,无,长133cm，宽169cm，33.000kg,壁画,无,https://www.sxhm.com/collections/detail/10045.html,https://www.sxhm.com/Uploads/Picture/2023/03/03/s6401a876f118c.jpg
5731,唐架鹰训鹞图,唐,无,一级,无,陕西博物馆,无,长144cm，宽158cm，34.500kg,壁画,无,https://www.sxhm.com/collections/detail/10046.html,https://www.sxhm.com/Uploads/Picture/2023/03/03/s6401a894cfd54.jpg
5732,唐内侍图,唐,无,一级,无,陕西博物馆,无,长284cm，宽168cm，100.000kg,壁画,无,https://www.sxhm.com/collections/detail/10047.html,https://www.sxhm.com/Uploads/Picture/2023/03/03/s6401a8b32ab5f.jpg
5733,唐内侍图,唐,无,一级,无,陕西博物馆,无,长284cm，宽172cm，95.000kg,壁画,无,https://www.sxhm.com/collections/detail/10048.html,https://www.sxhm.com/Uploads/Picture/2023/03/03/s6401a8d4baeb0.jpg
5734,唐宫女图,唐,无,一级,无,陕西博物馆,无,长116cm，宽175cm，41.000kg,壁画,无,https://www.sxhm.com/collections/detail/10049.html,https://www.sxhm.com/Uploads/Picture/2023/03/03/s6401a8efc8061.jpg
5735,唐殿堂侍卫图,唐,无,一级,无,陕西博物馆,无,长248cm，宽174cm，85.000kg,壁画,无,https://www.sxhm.com/collections/detail/10050.html,https://www.sxhm.com/Uploads/Picture/2023/03/03/s6401a90a79876.jpg
5736,唐内侍图,唐,无,一级,无,陕西博物馆,无,长167cm，宽140cm，54.000kg,壁画,无,https://www.sxhm.com/collections/detail/10051.html,https://www.sxhm.com/Uploads/Picture/2023/03/03/s6401a9239a956.jpg
5737,唐内侍图,唐,无,一级,无,陕西博物馆,无,长156cm，宽138cm，37.000kg,壁画,无,https://www.sxhm.com/collections/detail/10052.html,https://www.sxhm.com/Uploads/Picture/2023/03/03/s6401a9699afa5.jpg
