id,name,time,creator,level,placeOfOrigin,museum,type,size,material,description,collectionUrl,imageUrl
27,刘万林国画《一苇渡江》,中华人民共和国,未知,普通,未知,河南博物院,绘画,未知,未知,未知,https://www.chnmus.net/content/redirect?id=7066681200059879424,https://www.chnmus.net/webfile/collection_img/_45299_/41000002_45299_A_1.JPG
28,罗镜泉国画《荷塘新雨》,中华人民共和国,未知,普通,未知,河南博物院,绘画,未知,未知,未知,https://www.chnmus.net/content/redirect?id=7066681200739356672,https://www.chnmus.net/webfile/collection_img/_45300_/41000002_45300_A_1.JPG
29,师行坤国画《鹤寿图》,中华人民共和国,未知,普通,未知,河南博物院,绘画,未知,未知,未知,https://www.chnmus.net/content/redirect?id=7066681203532763136,https://www.chnmus.net/webfile/collection_img/_45304_/41000002_45304_A_1.JPG
30,时全兴国画国画《云影入山山入梦》,中华人民共和国,未知,普通,未知,河南博物院,绘画,未知,未知,未知,https://www.chnmus.net/content/redirect?id=7066681202748428288,https://www.chnmus.net/webfile/collection_img/_45303_/41000002_45303_A_1.JPG
31,罗镜泉国画《雄风》,中华人民共和国,未知,普通,未知,河南博物院,绘画,未知,未知,未知,https://www.chnmus.net/content/redirect?id=7066681201385279488,https://www.chnmus.net/webfile/collection_img/_45301_/41000002_45301_A_1.JPG
32,时全兴国画《云涌太行秋无际》,中华人民共和国,未知,普通,未知,河南博物院,绘画,未知,未知,未知,https://www.chnmus.net/content/redirect?id=7066681202060562432,https://www.chnmus.net/webfile/collection_img/_45302_/41000002_45302_A_1.JPG
33,傅智明国画《石人山》,中华人民共和国,未知,普通,未知,河南博物院,绘画,未知,未知,未知,https://www.chnmus.net/content/redirect?id=7066681198696730624,https://www.chnmus.net/webfile/collection_img/_45297_/41000002_45297_A_1.JPG
34,江立社国画《秋野无尘》轴,中华人民共和国,未知,普通,未知,河南博物院,绘画,未知,未知,未知,https://www.chnmus.net/content/redirect?id=7066681195962044416,https://www.chnmus.net/webfile/collection_img/_45293_/41000002_45293_A_1.JPG
35,牛宝成国画《竹林七贤图》,中华人民共和国,未知,普通,未知,河南博物院,绘画,未知,未知,未知,https://www.chnmus.net/content/redirect?id=7066681197400690688,https://www.chnmus.net/webfile/collection_img/_45295_/41000002_45295_A_1.JPG
36,米文杰国画《茂林春雨》,中华人民共和国,未知,普通,未知,河南博物院,绘画,未知,未知,未知,https://www.chnmus.net/content/redirect?id=7066681196708630528,https://www.chnmus.net/webfile/collection_img/_45294_/41000002_45294_A_1.JPG
37,刘万林国画《白梅》,中华人民共和国,未知,普通,未知,河南博物院,绘画,未知,未知,未知,https://www.chnmus.net/content/redirect?id=7066681199460093952,https://www.chnmus.net/webfile/collection_img/_45298_/41000002_45298_A_1.JPG
38,王普选国画《风簇藤花寻细韵》,中华人民共和国,未知,普通,未知,河南博物院,绘画,未知,未知,未知,https://www.chnmus.net/content/redirect?id=7066681198008864768,https://www.chnmus.net/webfile/collection_img/_45296_/41000002_45296_A_1.JPG
39,张金林国画《雏趣》,中华人民共和国,未知,普通,未知,河南博物院,绘画,未知,未知,未知,https://www.chnmus.net/content/redirect?id=7066681195345481728,https://www.chnmus.net/webfile/collection_img/_45292_/41000002_45292_A_1.JPG
40,《第16届亚洲运动会开幕纪念》纪念邮票,中华人民共和国,未知,普通,未知,河南博物院,票据,未知,未知,未知,https://www.chnmus.net/content/redirect?id=7066681191654494208,https://www.chnmus.net/webfile/collection_img/_45285_/41000002_45285_B_1.JPG
41,《中医药堂》特种邮票,中华人民共和国,未知,普通,未知,河南博物院,票据,未知,未知,未知,https://www.chnmus.net/content/redirect?id=7066681192396886016,https://www.chnmus.net/webfile/collection_img/_45286_/41000002_45286_B_1.JPG
42,《中国资本市场》特种邮票,中华人民共和国,未知,普通,未知,河南博物院,票据,未知,未知,未知,https://www.chnmus.net/content/redirect?id=7066681193994915840,https://www.chnmus.net/webfile/collection_img/_45288_/41000002_45288_B_1.JPG
43,毛伟国画《高原春晓》,中华人民共和国,未知,普通,未知,河南博物院,绘画,未知,未知,未知,https://www.chnmus.net/content/redirect?id=7066681194649227264,https://www.chnmus.net/webfile/collection_img/_45291_/41000002_45291_A_1.JPG
44,《中国高速铁路》特种邮票,中华人民共和国,未知,普通,未知,河南博物院,近现代文物,未知,未知,未知,https://www.chnmus.net/content/redirect?id=7066681193160249344,https://www.chnmus.net/webfile/collection_img/_45287_/41000002_45287_B_1.JPG
45,《广州2010年亚洲残疾人运动会》纪念邮票,中华人民共和国,未知,普通,未知,河南博物院,票据,未知,未知,未知,https://www.chnmus.net/content/redirect?id=7066681187267252224,https://www.chnmus.net/webfile/collection_img/_45279_/41000002_45279_B_1.JPG
46,《梅 兰 竹 菊》特种邮票,中华人民共和国,未知,普通,未知,河南博物院,票据,未知,未知,未知,https://www.chnmus.net/content/redirect?id=7066681190190682112,https://www.chnmus.net/webfile/collection_img/_45283_/41000002_45283_B_1.JPG
47,《朱熹诞生八百八十周年》纪念邮票,中华人民共和国,未知,普通,未知,河南博物院,票据,未知,未知,未知,https://www.chnmus.net/content/redirect?id=7066681190903713792,https://www.chnmus.net/webfile/collection_img/_45284_/41000002_45284_B_1.JPG
