id,name,time,leve,location(仅镇馆之宝有),size,material,describe(仅镇馆之宝有),relic_url,img_url
6290,清描金镶边海棠口漆方盘,清,一般,,边长10cm，0.035kg,其他,,https://www.sxhm.com/collections/detail/11360.html,htps:/Uploads/Picture/2023/04/13/s6437b2f8c2b6f.jpg
6291,清仿目云纹铜觯,清,一般,,高17cm，口径7.5cm，0.475kg,铜器,,https://www.sxhm.com/collections/detail/11361.html,htps:/Uploads/Picture/2023/04/13/s6437b30c2e67b.JPG
6292,清伏象钮带盖象首形足铜宣德炉,清,一般,,通高19.2cm，口径9.3cm，1.325kg,铜器,,https://www.sxhm.com/collections/detail/11362.html,htps:/Uploads/Picture/2023/04/13/s6437b32700e58.JPG
6293,清描金镶边海棠口漆方盘,清,一般,,边长10cm，0.035kg,其他,,https://www.sxhm.com/collections/detail/11363.html,htps:/Uploads/Picture/2023/04/13/s6437b32327d9c.jpg
6294,清狮首衔环耳铜宣德炉,清,一般,,高6.8cm，口径9.6cm，0.550kg,铜器,,https://www.sxhm.com/collections/detail/11364.html,htps:/Uploads/Picture/2023/04/13/s6437b3439303e.JPG
6295,清螺钿山水人物盘,清,一般,,口径12.2cm，底径8.5cm，0.038kg,其他,,https://www.sxhm.com/collections/detail/11365.html,htps:/Uploads/Picture/2023/04/13/s6437b355cc558.jpg
6296,清驮双桶铜象,清,一般,,通高24.4cm，长22.5cm，4.650kg,铜器,,https://www.sxhm.com/collections/detail/11366.html,htps:/Uploads/Picture/2023/04/13/s6437b3680a3de.JPG
6297,清螺钿山水人物盘,清,一般,,口径12.2cm，底径8.5cm，0.037kg,其他,,https://www.sxhm.com/collections/detail/11367.html,htps:/Uploads/Picture/2023/04/13/s6437b382daf29.jpg
6298,清蟠螭纹细颈铜瓶,清,一般,,高25.5cm，口径3cm，0.949kg,铜器,,https://www.sxhm.com/collections/detail/11368.html,htps:/Uploads/Picture/2023/04/13/s6437b38625362.JPG
6299,清蟠螭细颈铜瓶,清,一般,,高26cm，口径3cm，0.946kg,铜器,,https://www.sxhm.com/collections/detail/11369.html,htps:/Uploads/Picture/2023/04/13/s6437b3a35e6d1.JPG
6300,清夔龙纹铜尊,清,一般,,高22.7cm，口径13.2cm，1.403kg,铜器,,https://www.sxhm.com/collections/detail/11370.html,htps:/Uploads/Picture/2023/04/13/s6437b3c4d5637.JPG
6301,清嵌螺钿盒,清,二级,,长27cm，宽22.3cm，0.567kg,其他,,https://www.sxhm.com/collections/detail/11371.html,htps:/Uploads/Picture/2023/04/13/s6437b3ddeb802.JPG
6302,清狮钮带盖铜香炉,清,一般,,通高33.5cm，口径15.8cm，4.763kg,铜器,,https://www.sxhm.com/collections/detail/11372.html,htps:/Uploads/Picture/2023/04/13/s6437b3e92efbd.JPG
6303,清透空莲花纹狮钮盖铜宣德炉,清,一般,,通高16.6cm，口径11.8cm，2.147kg,铜器,,https://www.sxhm.com/collections/detail/11373.html,htps:/Uploads/Picture/2023/04/13/s6437b40532dfe.JPG
